Category,Text1,Answer1,Correct1,Text2,Answer2,Correct2
music,Vem är folk-gitarristen?,Badran,?,,,
society,Stad för Parken zoo?,Norrköping,Eskilstuna,,,
politics,När röstade Sverige om EU?,1995,1995,,,
movies,Vad gjorde Kim Novak?,Badade,Badade,,,
music,Vad är det skönt att vara enligt låten?,Naken,Naken,,,
society,Apotek som statade 2018?,Meds,Meds,,,
cars,Österrikes bilbokstav?,A,A,,,
science,Första bemannade rymdstationen?,Mir,Mir,,,
medicine,Vad heter DAMP numera?,ADHD,ADHD,,,
tv,Onda gubben i Tre Kronor?,Viktor Frisk,Sten Frisk,,,
tech,Spotify-funktionen med två pilar?,Shuffle,Shuffle,,,
logic,Kolla frågor 1-11,Samir Badran,Viktor Frisk,,,
music,Pausmusik,One Direction,One Direction,,,
food,Vad är conference och anjou?,Päron,Päron,,,
food,Huvudingrediens i Tom Collins?,Gin,Gin,Göteborgs bästa drinkbar enligt nån undersökning?,GT-bar,?
sports,Varifrån är Marcos Senna?,Brasilien,Brasilien,Finnen som vann mycket för Ferrarri?,Mika Häkkinen,Mika Häkkinen
movies,Film med Dolly parton?,9 to 5,9 to 5,Vilket parti gjorde Jane Fonda samarbete med?,Vänsterpartiet,Feministiskt initiativ
languages,Vad står BBC för?,British Broadcasting Company,British Broadcasting Corporation,,,
sports,Vilket Vasalopp i ordningen var det?,102,100,Vilka två vann?,"Fleten, Langås","Fleten, Syrstad"
languages,"Vilket språk är ""bikt""?",Tyska,Tyska,,,
movies,?,Jim Carrey,Jim Carrey,,,
history,Tysk spion som påminner om kejsare?,Cicero,Cicero,,,
sports,Vilken svensk vann EM-silver i medeldistans?,Andreas Kramer,Andreas Kramer,Samel Pihl vilken sport innan löpning?,Volleyboll,Fotboll
music,Vem sjunger låten?,Vanessa Paradis,?,Nånting 2008,?,?
sports,Vem skallade Zidane?,Materazzi,Materazzi,Vem satte sista straffen i VM 2006?,Trezeguet,Trezeguet
